Minutiae type,X coordinate,Y coordinate,Açı (θ)
Ending,159,487,4.775712
Ending,162,488,5.4542007
Ending,269,489,7.1770954
Ending,275,489,6.446328
Ending,174,490,9.874832
Ending,185,490,11.010754
Ending,189,490,7.6016164
Ending,216,491,4.3161626
Ending,222,491,4.453885
Ending,147,492,4.676856
Ending,189,492,12.095238
Ending,191,492,12.242624
Ending,198,492,10.931883
Ending,240,492,3.8491807
Ending,150,493,3.8280265
Ending,206,493,10.084923
Ending,229,493,7.0494385
Ending,217,494,5.478936
Ending,228,494,5.5450535
Ending,237,494,4.759387
Ending,258,496,4.047264
Ending,261,496,4.825962
Ending,171,497,4.2799683
Ending,174,498,4.3847523
Ending,189,500,5.446951
Ending,189,502,5.270251
Ending,191,502,4.8018055
Ending,413,508,3.3167682
Ending,412,509,3.2436993
Ending,412,533,3.0675907
Ending,411,534,2.919282
Ending,74,556,4.0963697
Ending,89,556,3.241579
Ending,143,556,4.5079365
Ending,160,556,4.642886
Ending,171,556,4.171708
Ending,72,557,4.1053677
Ending,88,557,3.3122976
Ending,139,557,4.5823607
Ending,157,557,4.4718
Ending,169,557,4.321074
Bifurcation,259,90,10.108784
Bifurcation,135,101,8.285393
Bifurcation,285,105,7.9852686
Bifurcation,116,121,10.886015
Bifurcation,97,122,5.2150908
Bifurcation,322,123,7.315301
Bifurcation,312,128,10.860223
Bifurcation,306,139,15.785671
Bifurcation,313,144,15.787712
Bifurcation,250,145,11.590839
Bifurcation,304,150,15.6159
Bifurcation,89,151,9.323664
Bifurcation,311,158,15.013784
Bifurcation,329,159,14.559578
Bifurcation,333,164,14.852312
Bifurcation,76,171,12.358263
Bifurcation,340,175,9.919533
Bifurcation,357,179,5.947277
Bifurcation,249,181,14.994969
Bifurcation,213,187,8.070591
Bifurcation,69,190,14.283786
Bifurcation,159,197,11.720536
Bifurcation,293,201,15.44899
Bifurcation,65,205,14.958225
Bifurcation,307,205,15.586966
Bifurcation,362,208,4.7097325
Bifurcation,221,209,17.307344
Bifurcation,347,209,11.238517
Bifurcation,248,211,16.645164
Bifurcation,74,212,16.487093
Bifurcation,227,215,18.016895
Bifurcation,342,220,8.8915825
Bifurcation,373,221,4.7448244
Bifurcation,189,222,9.167578
Bifurcation,363,225,10.389051
Bifurcation,319,227,17.105337
Bifurcation,363,243,12.253653
Bifurcation,53,244,8.936876
Bifurcation,371,252,6.9988637
Bifurcation,363,256,12.213018
Bifurcation,42,258,5.8924627
Bifurcation,365,259,14.12508
Bifurcation,368,263,13.764694
Bifurcation,42,269,7.3879757
Bifurcation,296,280,10.246683
Bifurcation,367,280,15.91947
Bifurcation,43,283,6.534075
Bifurcation,368,283,13.492012
Bifurcation,370,284,12.012779
Bifurcation,345,288,8.286919
Bifurcation,193,307,14.076917
Bifurcation,145,319,14.616847
Bifurcation,206,319,11.824539
Bifurcation,41,329,11.687399
Bifurcation,361,333,7.2536244
Bifurcation,159,337,16.077618
Bifurcation,45,339,13.2611065
Bifurcation,48,343,11.273323
Bifurcation,112,346,15.284057
Bifurcation,380,353,8.152065
Bifurcation,368,357,7.7945385
Bifurcation,57,374,6.8479776
Bifurcation,50,376,6.426893
Bifurcation,291,387,9.706785
Bifurcation,369,392,8.862183
Bifurcation,369,393,8.937191
Bifurcation,45,401,11.213291
Bifurcation,84,401,15.309332
Bifurcation,48,406,10.11618
Bifurcation,370,410,6.3810973
Bifurcation,44,421,4.329923
Bifurcation,59,429,12.318741
Bifurcation,62,432,11.665712
Bifurcation,339,432,14.120243
Bifurcation,341,432,15.114329
Bifurcation,345,449,6.6835613
Bifurcation,78,452,11.003058
Bifurcation,262,452,14.932246
Bifurcation,323,457,16.046913
Bifurcation,151,458,18.491491
Bifurcation,308,462,16.739536
Bifurcation,298,471,12.551921
Bifurcation,124,475,12.147839
Bifurcation,88,477,5.223861
Bifurcation,110,482,6.506714
Bifurcation,257,486,11.082842
Bifurcation,190,492,12.17156
Bifurcation,218,493,8.432695
Bifurcation,190,502,6.0024147
